Year,Status,Index,Original_Rate
2015,Indigenous,100.0,1.1334619986522232
2015,Non-Indigenous,100.0,0.1144109221267143
2016,Indigenous,105.07741552761722,1.1910125741714317
2016,Non-Indigenous,104.9791289755689,0.1201075895015411
2017,Indigenous,109.9172718678117,1.2458705065768965
2017,Non-Indigenous,109.40684571917888,0.1251733810570642
2018,Indigenous,112.90716557445495,1.279759815541792
2018,Non-Indigenous,111.90934959240435,0.1280365188146782
2019,Indigenous,113.96273399960933,1.2917242825106885
2019,Non-Indigenous,110.27029286918165,0.1261612589034592
2020,Indigenous,110.72084061034306,1.2549786529065368
2020,Non-Indigenous,102.03216305441236,0.1167359386163859
2021,Indigenous,117.07943232801074,1.3270508736757478
2021,Non-Indigenous,105.29666528115452,0.1204708857168487
2022,Indigenous,113.56077499067267,1.2871682298942326
2022,Non-Indigenous,94.95889188747645,0.1086433438497715
2023,Indigenous,119.67875623038537,1.356513222331048
2023,Non-Indigenous,94.12219222911176,0.1076860680552054
2024,Indigenous,134.6283810375671,1.5259615384615386
2024,Non-Indigenous,93.80367243079087,0.1073216466167903
